Year,Total Births
1855,93349
1856,101821
1857,103415
1858,104018
1859,106543
1860,105629
1861,107009
1862,107069
1863,109341
1864,112333
1865,113070
1866,113667
1867,114044
1868,115514
1869,113354
1870,115390
1871,116128
1872,118765
1873,119700
1874,123711
1875,123578
1876,126534
1877,126822
1878,126773
1879,125730
1880,124570
1881,126171
1882,126158
1883,124458
1884,129157
1885,126100
1886,127890
1887,124418
1888,123269
1889,122783
1890,121526
1891,125986
1892,125043
1893,127110
1894,124367
1895,126494
1896,129172
1897,128877
1898,130861
1899,130733
1900,131401
1901,132192
1902,132267
1903,133525
1904,132603
1905,131410
1906,132005
1907,128840
1908,131362
1909,128669
1910,124059
1911,121850
1912,122790
1913,120516
1914,123934
1915,114181
1916,109942
1917,97441
1918,98554
1919,106268
1920,136546
1921,123201
1922,115085
1923,111902
1924,106900
1925,104137
1926,102449
1927,96672
1928,96822
1929,92880
1930,94549
1931,92220
1932,91000
1933,86546
1934,88836
1935,87928
1936,88928
1937,87810
1938,88627
1939,86913
1940,86392
1941,89748
1942,90703
1943,94669
1944,95920
1945,86924
1946,104413
1947,113147
1948,100344
1949,95674
1950,92530
1951,90639
1952,90422
1953,90913
1954,92315
1955,92539
1956,95313
1957,97977
1958,99481
1959,99251
1960,101292
1961,101169
1962,104334
1963,102691
1964,104355
1965,100660
1966,96536
1967,96221
1968,94786
1969,90290
1970,87335
1971,86728
1972,78550
1973,74392
1974,70093
1975,67943
1976,64895
1977,62342
1978,64295
1979,68366
1980,68892
1981,69054
1982,66196
1983,65078
1984,65106
1985,66676
1986,65812
1987,66241
1988,66212
1989,63480
1990,65973
1991,67024
1992,65789
1993,63337
1994,61656
1995,60051
1996,59296
1997,59440
1998,57319
1999,55147
2000,53076
2001,52527
2002,51270
2003,52432
2004,53957
2005,54386
2006,55690
2007,57781
2008,60041
2009,59046
2010,58791
2011,58590
2012,58027
2013,56014
2014,56725
2015,55098
2016,54488
2017,52861
2018,51308
2019,49863
2020,46809
2021,47786
2022,46959
2023,45935
